Variable,Definitions
LLOAN5          ,Total balance of household loans where the lender is a brokerage and/or life insurancer
LLOAN6          ,Total balance of household loans where the lender is a real estate company
LLOAN7          ,Total balance of household loans  where the lender is an individual 
LLOAN8          ,Total balance of household loans where the lender is an other nonfinancial
LLOAN9          ,Total balance of household loans where the lender is government
LLOAN10         ,Total balance of household loans where the lender is a store and/or a credit card
LLOAN11         ,Total balance of household loans where the lender is a pension
LLOAN12         ,"Total balance of household loans where the lender is other, unclassifiable, or foreign"
MARRIED         ,Marital status of head of household
MINBAL          ,Why chose main checking account institution: minimum balance is too high
MMA             ,Total value of money market deposit and money market mutual fund accounts
MRTHEL          ,Total value of debt seucred by the primary residence held by household
NBUSVEH         ,Total number of business vehicles held by household
NETWORTH        ,Total net worth of household
NFIN            ,Total value of nonfinancial assets held by household
NH_MORT         ,Total value of mortgages and home equity loans secured by the primary residence held by household
NMMF            ,Total value of directly held pooled investment funds held by household
NNRESRE         ,Total value of net equity in nonresidential real estate held by household
NOCHK           ,Household has no checking account
NOMONEY         ,Why no checking account: don't have (enough) money
NONACTBUS       ,Value of non-actively managed business(es)
NORMINC         ,Household normal income
NWCAT           ,Net worth percentile groups
OCCAT1          ,Occupation categories for head of household
OCCAT2,Occupation classification for head of household
ODEBT           ,Total value of other debts held by household
ORESRE          ,Total value of other residential real estate held by household
OTHER           ,Why no checking account: other
OTHFIN          ,Total value of other financial assets
OTHLOC          ,Total value of other lines of credit held by household
OTHMA           ,Total value of other managed assets held by household
OTHNFIN         ,Total value of other nonfinancial assets held by household
OTH_INST        ,Total value of other installment loans held by household
PIRTOTAL        ,Ratio of monthly debt payments to monthly income
PLOAN1          ,"Total value of aggregate loan balance by loan purpose: home purchase, cottage, vacation property"
PLOAN2          ,Total value of aggregate loan balance by loan purpose: home improvement 
PLOAN3          ,Total value of aggregate loan balance by loan purpose: vehicles
PLOAN4          ,Total value of aggregate loan balance by loan purpose: goods and services
PLOAN5          ,Total value of aggregate loan balance by loan purpose: investments and mortgage loans for other real estate
PLOAN6          ,Total value of aggregate loan balance by loan purpose: education and professional expenses
PLOAN7          ,Total value of aggregate loan balance by loan purpose: other unclassifiable loans
PLOAN8          ,Total value of aggregate loan balance by loan purpose: not used in public data
PURCH1          ,First lien on primary residence used for purchase of primary residence
PURCH2          ,Junior lien on primary residence used for purchase of primary residence
RACE            ,Race/ethnicity of respondent
RACECL          ,Class of race of respondent
REFIN_EVER      ,Refinanced first lien mortgage on primary residence
RESDBT          ,Total value of debt for other residential property held by households
RETEQ           ,Total value of equity in quasi-liquid retirement assets
RETQLIQ         ,Total value of quasi-liquid held by household
SAVBND          ,Total value of savings bonds held by household
SAVED           ,Indicator of whether the household saved over the past 12 months
SAVING          ,Total value of savings accounts held by household
SAVRES1         ,Reason for saving: can't save
SAVRES2         ,Reason for saving: education
SAVRES3         ,Reason for saving: family
SAVRES4         ,Reason for saving: home
SAVRES5         ,Reason for saving: purchases
SAVRES6         ,Reason for saving: retirement
SAVRES7         ,Reason for saving: liquidity/the future
SAVRES8         ,Reason for saving: investment
SAVRES9         ,Reason for saving: no particular reason
SSRETINC        ,Social security and pension income
STOCKS          ,Total value of directly held stocks held by household
SVCCHG          ,Why no checking account: service changes are too high
TPAY            ,Total value of monthly debt payments
TRANSFOTHINC    ,"Unemployment, alimony/child support, TANF/food stamps/SSI, and other income"
VEHIC           ,Total value of all vehicles held by household
VEH_INST        ,Total value of vehicle loans held by household
VLEASE          ,Total value of leased vehicles held by household
WAGEINC         ,Wage and salary income
WGT             ,Sample weight
WHYNOCKG        ,Reason household does not have a checking account
Y1              ,Case ID with implicate number
YY1,Case ID  
